date,GASREGW,diff_log_gas
1999-05-10,1.14,0.003514942107444491
1999-05-17,1.14,0.0
1999-05-24,1.126,-0.012356732688905456
1999-05-31,1.111,-0.013411019060005608
1999-06-07,1.112,0.0008996851708977932
1999-06-14,1.108,-0.003603607503298578
1999-06-21,1.124,0.014337163146407275
1999-06-28,1.113,-0.009834679178091651
1999-07-05,1.125,0.01072396336297568
1999-07-12,1.143,0.015873349156290156
1999-07-19,1.169,0.022492297677257772
1999-07-26,1.193,0.02032246062584772
1999-08-02,1.195,0.0016750422676949372
1999-08-09,1.206,0.009162912921519634
1999-08-16,1.236,0.024571260730505334
1999-08-23,1.234,-0.0016194335523029568
1999-08-30,1.233,-0.0008107013009887309
1999-09-06,1.242,0.007272759329079698
1999-09-13,1.25,0.006420567802922744
1999-09-20,1.268,0.014297304700824437
1999-09-27,1.262,-0.004743091896012769
1999-10-04,1.255,-0.005562191535274319
1999-10-11,1.249,-0.004792341440306408
1999-10-18,1.236,-0.010462872107941695
1999-10-25,1.237,0.0008087343748519049
1999-11-01,1.23,-0.005674924026024791
1999-11-08,1.233,0.0024360547978811986
1999-11-15,1.251,0.014493007302566668
1999-11-22,1.269,0.014285957247476555
1999-11-29,1.274,0.003932368417721072
1999-12-06,1.273,-0.0007852375747022244
1999-12-13,1.275,0.001569859035119997
1999-12-20,1.269,-0.004716989878138844
1999-12-27,1.273,0.003147130843018847
2000-01-03,1.272,-0.0007858546573389635
2000-01-10,1.264,-0.006309169193264741
2000-01-17,1.277,0.010232281325736475
2000-01-24,1.315,0.029323088579325696
2000-01-31,1.316,0.0007601672733976161
2000-02-07,1.325,0.006815626535060015
2000-02-14,1.356,0.02312673008001842
2000-02-21,1.406,0.03620960387026917
2000-02-28,1.421,0.010612055726490544
2000-03-06,1.501,0.05477070353636121
2000-03-13,1.527,0.017173473585170518
2000-03-20,1.529,0.0013089007104298278
2000-03-27,1.508,-0.013829657361160819
2000-04-03,1.503,-0.0033211588149270055
2000-04-10,1.475,-0.018805120979054124
2000-04-17,1.444,-0.021240949321148783
2000-04-24,1.437,-0.004859433373746558
2000-05-01,1.42,-0.01190073548371856
2000-05-08,1.455,0.02434902901028657
2000-05-15,1.492,0.025111601158113228
2000-05-22,1.527,0.023187524454926223
2000-05-29,1.54,0.008477390189042477
2000-06-05,1.563,0.014824635013801712
2000-06-12,1.631,0.042586272199537256
2000-06-19,1.681,0.030195530787601732
2000-06-26,1.658,-0.013776797713375366
2000-07-03,1.625,-0.02010424093140234
2000-07-10,1.593,-0.019888784853789365
2000-07-17,1.546,-0.02994808076268124
2000-07-24,1.52,-0.01696061530704518
2000-07-31,1.471,-0.032767893238884516
2000-08-07,1.462,-0.006137080291713781
2000-08-14,1.447,-0.010312913678239888
2000-08-21,1.468,0.014408482542976941
2000-08-28,1.481,0.008816605093337981
2000-09-04,1.53,0.032550200118682315
2000-09-11,1.561,0.020058906128950893
2000-09-18,1.562,0.0006404098841992778
2000-09-25,1.548,-0.009003276249958891
2000-10-02,1.524,-0.015625317903080804
2000-10-09,1.502,-0.014540903922511561
2000-10-16,1.539,0.024335301514799124
2000-10-23,1.551,0.007767029337659603
2000-10-30,1.545,-0.0038759738446930148
2000-11-06,1.526,-0.012373977487443455
2000-11-13,1.523,-0.001967858949240564
2000-11-20,1.51,-0.008572423086191716
2000-11-27,1.51,0.0
2000-12-04,1.486,-0.016021704531265557
2000-12-11,1.449,-0.02521428295702205
2000-12-18,1.422,-0.01880933195749629
2000-12-25,1.414,-0.005641763906668151
2001-01-01,1.406,-0.005673774085907857
2001-01-08,1.425,0.013423020332140823
2001-01-15,1.474,0.03380798004653096
2001-01-22,1.471,-0.00203735214784434
2001-01-29,1.46,-0.007506005899055479
2001-02-05,1.443,-0.011712155928511159
2001-02-12,1.476,0.02261144638654683
2001-02-19,1.449,-0.018462062839735338
2001-02-26,1.431,-0.012500162764231493
2001-03-05,1.417,-0.009831539865770456
2001-03-12,1.412,-0.003534821637493135
2001-03-19,1.404,-0.005681833467430952
2001-03-26,1.404,0.0
2001-04-02,1.442,0.026705733259137943
2001-04-09,1.5,0.0394340692454071
2001-04-16,1.571,0.04624725116531969
2001-04-23,1.619,0.03009631542201402
2001-04-30,1.626,0.004314336430120691
2001-05-07,1.703,0.04626839055493254
2001-05-14,1.713,0.005854817661431588
2001-05-21,1.687,-0.015294415778151604
2001-05-28,1.704,0.010026624843292642
2001-06-04,1.679,-0.014780050311720139
2001-06-11,1.647,-0.019242926899900537
2001-06-18,1.601,-0.028327017180925673
2001-06-25,1.538,-0.04014556293112537
2001-07-02,1.474,-0.04250307731630737
2001-07-09,1.437,-0.025422186670256974
2001-07-16,1.413,-0.0168425033944975
2001-07-23,1.395,-0.012820688429061422
2001-07-30,1.384,-0.007916558077851243
2001-08-06,1.376,-0.005797117684325892
2001-08-13,1.392,0.011560822401075976
2001-08-20,1.427,0.024832776582471572
2001-08-27,1.488,0.041858597916200724
2001-09-03,1.545,0.037590973938808614
2001-09-10,1.527,-0.011718884113213368
2001-09-17,1.529,0.0013089007104298278
2001-09-24,1.485,-0.029199154692262197
2001-10-01,1.416,-0.04757877698313501
2001-10-08,1.352,-0.046251017650755566
2001-10-15,1.309,-0.0323214906930096
2001-10-22,1.265,-0.03419136474827933
2001-10-29,1.235,-0.024001152099542872
2001-11-05,1.206,-0.02376187177494693
2001-11-12,1.182,-0.020101179321087265
2001-11-19,1.167,-0.012771565679487451
2001-11-26,1.127,-0.034877118246779706
2001-12-03,1.108,-0.017002646732547103
2001-12-10,1.095,-0.011802225056628035
2001-12-17,1.059,-0.033429296649194765
2001-12-24,1.072,0.012200996029340952
2001-12-31,1.096,0.022141125877213563
2002-01-07,1.112,0.014493007302566863
2002-01-14,1.111,-0.0008996851708977932
2002-01-21,1.105,-0.005415175687776816
2002-01-28,1.101,-0.003626477229173225
2002-02-04,1.116,0.013532006218576392
2002-02-11,1.107,-0.008097210232619473
2002-02-18,1.116,0.008097210232619473
2002-02-25,1.116,0.0
2002-03-04,1.144,0.024780028998486775
2002-03-11,1.223,0.0667759637474293
2002-03-18,1.288,0.051783770977126525
2002-03-25,1.342,0.04107041086732821
2002-04-01,1.371,0.021379362030687243
2002-04-08,1.413,0.030174703122213042
2002-04-15,1.404,-0.006389798098771049
2002-04-22,1.404,0.0
2002-04-29,1.393,-0.007865610805950662
2002-05-06,1.395,0.0014347204756602894
2002-05-13,1.388,-0.005030553188716258
2002-05-20,1.397,0.006463218190212061
2002-05-27,1.387,-0.007183938942130208
2002-06-03,1.392,0.003598420579533246
2002-06-10,1.375,-0.012287830793693222
2002-06-17,1.378,0.002179441472932142
2002-06-24,1.384,0.004344684604010995
2002-07-01,1.392,0.005763704716750084
2002-07-08,1.382,-0.007209836566749728
2002-07-15,1.394,0.008645586992854004
2002-07-22,1.41,0.011412392051744769
2002-07-29,1.407,-0.0021299262578248213
2002-08-05,1.395,-0.008565362858923065
2002-08-12,1.393,-0.0014347204756602894
2002-08-19,1.392,-0.0007181328854408697
2002-08-26,1.403,0.00787123920809607
2002-09-02,1.394,-0.006435488781991794
2002-09-09,1.395,0.0007171029349968827
2002-09-16,1.401,0.004291852081540981
2002-09-23,1.395,-0.004291852081540981
2002-09-30,1.413,0.012820688429061422
2002-10-07,1.439,0.018233324202840406
2002-10-14,1.44,0.000694685682678442
2002-10-21,1.458,0.012422519998557147
2002-10-28,1.444,-0.009648593115831938
2002-11-04,1.448,0.0027662534928901694
2002-11-11,1.439,-0.00623486605829382
2002-11-18,1.409,-0.021068194988687616
2002-11-25,1.38,-0.020796733747429963
2002-12-02,1.364,-0.011661939747842798
2002-12-09,1.36,-0.0029368596733096997
2002-12-16,1.363,0.0022034529664348157
2002-12-23,1.401,0.027498114640474414
2002-12-30,1.441,0.028151049662515137
2003-01-06,1.444,0.0020797234532493603
2003-01-13,1.454,0.006901338640693144
2003-01-20,1.459,0.003432890429321045
2003-01-27,1.473,0.009549867939844636
2003-02-03,1.527,0.03600388875600208
2003-02-10,1.607,0.05106406051888018
2003-02-17,1.66,0.03244851561307632
2003-02-24,1.658,-0.0012055456553486943
2003-03-03,1.686,0.016746802866560495
2003-03-10,1.712,0.015303418139886671
2003-03-17,1.728,0.009302392662313586
2003-03-24,1.69,-0.022236141446881796
2003-03-31,1.649,-0.024559485357520283
2003-04-07,1.63,-0.01158902875879092
2003-04-14,1.595,-0.021706278581863026
2003-04-21,1.574,-0.013253586241596338
2003-04-28,1.557,-0.010859257143350287
2003-05-05,1.513,-0.02866645804564244
2003-05-12,1.491,-0.014647399023617391
2003-05-19,1.498,0.004683849312426325
2003-05-26,1.487,-0.007370217617009678
2003-06-02,1.473,-0.009459529997524807
2003-06-09,1.49,0.011474982476874507
2003-06-16,1.518,0.01861755901607043
2003-06-23,1.496,-0.01459879942115272
2003-06-30,1.487,-0.006034212074267409
2003-07-07,1.489,0.001344086223853902
